"","Postcode","COUNT","RANKING","PROB"
"1","10001",4,4,1
"2","10002",4,4,1
"3","10003",4,4,1
"4","10004",4,4,1
"5","10005",4,4,1
"6","10006",4,4,1
"7","10007",4,4,1
"8","10009",3.25,8,0.8125
"9","10010",3.0625,9,0.765625
"10","10011",2.828125,10,0.70703125
"11","10012",1,45.5,0.25
"12","10013",2.22265625,11,0.5556640625
"13","10014",2.0126953125,29,0.503173828125
"14","10016",2,30,0.5
"15","10017",2.07845052083333,12,0.519612630208333
"16","10018",2.03038194444444,28,0.507595486111111
"17","10019",2.03627748842593,27,0.509069372106482
"18","10021",2.0483699845679,13,0.512092496141975
"19","10022",2.03834313914609,26,0.509585784786523
"20","10023",2.04099687071331,24,0.510249217678327
"21","10024",2.04256999814243,14,0.510642499535608
"22","10025",2.04063666933394,25,0.510159167333486
"23","10026",2.04140117939656,16,0.51035029484914
"24","10027",2.04153594895765,15,0.510383987239411
"25","10028",2.04119126589605,23,0.510297816474013
"26","10029",2.04137613141675,17,0.510344032854188
"27","10030",2.04136778209015,18,0.510341945522537
"28","10031",2.04131172646765,22,0.510327931616913
"29","10032",2.04135187999152,19,0.510337969997879
"30","10033",2.04134379618311,20,0.510335949045776
"31","10034",2.04133580088076,21,0.510333950220189
"32","10035",1.78100786926385,31,0.445251967315961
"33","10036",1.71592186658193,32,0.428980466645482
"34","10037",1.63456638418163,33,0.408641596045408
"35","10038",1,45.5,0.25
"36","10039",1.45016275025452,34,0.36254068756363
"37","10040",1.36157637814538,35,0.340394094536346
"38","10065",1.27057970946663,44,0.317644927366659
"39","10069",1.36077294595551,36,0.340193236488878
"40","10075",1.33097634452251,39,0.332744086130628
"41","10128",1.32077633331489,43,0.330194083328722
"42","10280",1.3375085412643,37,0.334377135316076
"43","10282",1.32975373970057,41,0.332438434925142
"44","11106",1.32934620475992,42,0.33233655118998
"45","11109",1.33220282857493,38,0.333050707143732
"46","11231",1.33043425767847,40,0.332608564419618
