"","zip","bus.count","bus.rank","bus.prob","subway.count","subway.rank","subway.prob"
"1","10001",15,22,0.319148936170213,7,5,0.5
"2","10002",35,4.5,0.74468085106383,6,7,0.428571428571429
"3","10003",18,16,0.382978723404255,6,7,0.428571428571429
"4","10004",2,43,0.0425531914893617,3,25,0.214285714285714
"5","10005",3,39,0.0638297872340425,2,34,0.142857142857143
"6","10006",1,45.5,0.0212765957446809,3,25,0.214285714285714
"7","10007",2,43,0.0425531914893617,14,1,1
"8","10009",30,7.5,0.638297872340426,1,43,0.0714285714285714
"9","10010",27,10,0.574468085106383,3,25,0.214285714285714
"10","10011",15,22,0.319148936170213,9,2.5,0.642857142857143
"11","10012",5,37,0.106382978723404,4,15.5,0.285714285714286
"12","10013",8,35,0.170212765957447,8,4,0.571428571428571
"13","10014",10,32.5,0.212765957446809,2,34,0.142857142857143
"14","10016",22,12,0.468085106382979,2,34,0.142857142857143
"15","10017",14,25.5,0.297872340425532,3,25,0.214285714285714
"16","10018",7,36,0.148936170212766,3,25,0.214285714285714
"17","10019",28,9,0.595744680851064,9,2.5,0.642857142857143
"18","10021",17,18,0.361702127659574,4.5,12,0.321428571428571
"19","10022",14,25.5,0.297872340425532,5,10,0.357142857142857
"20","10023",34,6,0.723404255319149,3,25,0.214285714285714
"21","10024",30,7.5,0.638297872340426,4,15.5,0.285714285714286
"22","10025",45,2,0.957446808510638,5,10,0.357142857142857
"23","10026",20,13,0.425531914893617,3,25,0.214285714285714
"24","10027",47,1,1,4,15.5,0.285714285714286
"25","10028",12,28.5,0.25531914893617,1,43,0.0714285714285714
"26","10029",43,3,0.914893617021277,3,25,0.214285714285714
"27","10030",18,16,0.382978723404255,3.33333333333333,19,0.238095238095238
"28","10031",26,11,0.553191489361702,3,25,0.214285714285714
"29","10032",35,4.5,0.74468085106383,6,7,0.428571428571429
"30","10033",16,19,0.340425531914894,3,25,0.214285714285714
"31","10034",15,22,0.319148936170213,4,15.5,0.285714285714286
"32","10035",19,14,0.404255319148936,1,43,0.0714285714285714
"33","10036",12,28.5,0.25531914893617,4,15.5,0.285714285714286
"34","10037",10,32.5,0.212765957446809,1,43,0.0714285714285714
"35","10038",13,27,0.276595744680851,5,10,0.357142857142857
"36","10039",15,22,0.319148936170213,3,25,0.214285714285714
"37","10040",15,22,0.319148936170213,4,15.5,0.285714285714286
"38","10065",10,32.5,0.212765957446809,2,34,0.142857142857143
"39","10069",11.6666666666667,30,0.24822695035461,2.2,31,0.157142857142857
"40","10075",18,16,0.382978723404255,1,43,0.0714285714285714
"41","10128",10,32.5,0.212765957446809,1,43,0.0714285714285714
"42","10280",2,43,0.0425531914893617,1.55,37,0.110714285714286
"43","10282",1,45.5,0.0212765957446809,1.31,39,0.0935714285714286
"44","11106",4.33333333333333,38,0.0921985815602837,2,34,0.142857142857143
"45","11109",2.44444444444444,41,0.0520094562647754,1.465,38,0.104642857142857
"46","11231",2.59259259259259,40,0.0551615445232466,1,43,0.0714285714285714
