Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Child Health Center,Queens,Elmhurst Hospital Center,,718-334-4000,"79 01
Elmhurst, NY 11373
(40.73871040256307, -73.87835115518163)",,,,,,,,,
Nursing Home,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397447676, -73.98759853472393)",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,,212-318-8000,"1 Main St Roosevelt Island
New York, NY 10044
(40.76197648622593, -73.94999967494499)",10044,40.756368,-73.956054,8,5,23801,1085548,1013730020,Lenox Hill-Roosevelt Island                                                
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,,212-848-6000 ,"900 Main Street Roosevelt Island
New York, NY 10044
(40.76197648622593, -73.94999967494499)",10044,40.7698,-73.941218,8,5,23802,1040750,1013730050,Lenox Hill-Roosevelt Island                                                
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397447676, -73.98759853472393)",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Acute Care Hospital,Manhattan,Bellevue Hospital Center,,212-562-4141,"462 First Avenue
New York, NY 10016
(40.73962320748018, -73.97657284664467)",10016,40.739173,-73.976862,6,4,62,1086515,1009620100,Murray Hill-Kips Bay                                                       
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,"760 Broadway
Brooklyn, NY 11206
(40.70052661478004, -73.94164385876527)",11206,40.700528,-73.941604,3,36,28501,3048341,3017230001,Bushwick South                                                             
Child Health Center,Queens,Parsons Communicare Clinic,between Jamaica Ave. & 90th Ave.,718-334-6401,"90 37 Parsons Boulevard
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)",11432,40.703826,-73.800483,12,24,44601,4208836,4097560006,Jamaica                                                                    
Acute Care Hospital,Brooklyn,Coney Island Hospital,,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
(40.58664543395709, -73.96583011577816)",11235,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach                                                             
Child Health Center,Queens,South Queens Community Health Center,,718-883-6699,"114 02 Guy R Brewer Blvd
Jamaica, NY 11434
(40.6769452621142, -73.77530690169215)",11434,40.688615,-73.785593,12,28,276,4264631,4122000052,Baisley Park                                                               
Child Health Center,Manhattan,Judson Health Center,,212-925-5000,"34 Spring Street
New York, NY 10012
(40.72173569231745, -73.9957194126485)",10012,40.721721,-73.995732,2,1,41,1007180,1004800021,SoHo-TriBeCa-Civic Center-Little Italy                                     
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,between Montauk Ave. & Atkins Ave.,718-647-0800,"1091 Sutter Avenue
Brooklyn, NY 11208
(40.671899036220196, -73.87831881794278)",11208,40.671892,-73.878197,5,42,1194,3089620,3040390001,East New York                                                              
Child Health Center,Brooklyn,Homecrest Child Health Clinic,between E. 16th St. & E. 17th St.,718-339-6243,"1601 Avenue
Brooklyn, NY 11229
(40.60123350732056, -73.94436854117521)",,,,,,,,,
Acute Care Hospital,Queens,Elmhurst Hospital Center,,718-334-4000,"79 01
Elmhurst, NY 11373
(40.73871040256307, -73.87835115518163)",,,,,,,,,
Diagnostic & Treatment Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,"100 Portland Avenue
Brooklyn, NY 11205
(40.69514358466528, -73.97623557216579)",,,,,,,,,
Child Health Center,Brooklyn,Williamsburg Health Center,,718-963-7820,"279 Graham Avenue
Brooklyn, NY 11211
(40.712103238035546, -73.94399407154296)",11211,40.712046,-73.943989,1,34,495,3069418,3027820024,East Williamsburg                                                          
