zipcode,count.grocery,ranking.grocery,count.pharmacy,ranking.pharmacy,count.American,ranking.American,count.Chinese,ranking.Chinese,count.Italian,ranking.Italian,count.Japanese,ranking.Japanese,count.Pizza,ranking.Pizza
10001,35,12,9,6,102,4,3,32,8,19,10,13,12,4
10002,70,1,2,30,75,12,62,1,9,17,18,7,14,1
10003,44,8,13,2,103,3,16,4,24,8,51,1,13,2
10009,52,5,4,22,61,14,10,11,7,22,9,14,9,7
10011,42,10,13,2,100,5,11,8,25,6,23,2,8,10
10012,18,29,6,14,90,8,6,18,29,2,20,4,4,24
10013,27,20,4,22,80,10,53,2,43,1,15,9,6,18
10014,24,24,2,30,88,9,4,26,28,4,17,8,7,14
10016,33,17,7,10,95,6,9,12,18,9,22,3,9,7
10018,23,25,7,10,75,12,11,8,10,16,6,20,6,18
10019,34,15,12,3,149,2,14,6,29,2,19,6,12,4
10022,19,28,10,5,91,7,7,16,25,6,14,10,8,10
10023,17,31,7,10,41,16,4,26,12,13,2,28,2,34
10024,27,20,5,18,29,24,4,26,14,10,4,22,3,30
10025,46,7,11,4,31,21,15,5,7,22,2,28,8,10
10027,38,11,4,22,31,21,9,12,3,28,6,20,6,18
10028,22,26,6,14,35,18,5,21,13,12,11,12,6,18
10036,28,18,7,10,154,1,11,8,25,6,11,12,8,10
10038,16,33,4,22,41,16,11,8,6,24,4,22,4,24
10004,NA,NA,2,30,23,27,NA,NA,5,26,2,28,3,30
10005,1,40,3,24,16,31,NA,NA,NA,NA,NA,NA,1,38
10006,2,39,2,30,13,33,3,32,NA,NA,NA,NA,2,34
10007,8,36,2,30,30,23,1,38,2,30,3,24,4,24
10010,26,22,6,14,56,15,5,21,8,19,8,16,4,24
10017,17,31,6,14,61,14,5,21,7,22,19,6,9,7
10021,35,12,9,6,26,25,3,32,13,12,9,14,2,34
10026,24,24,2,30,20,28,3,32,2,30,NA,NA,3,30
10029,66,2,5,18,25,26,19,3,5,26,1,32,11,5
10030,19,28,1,38,6,38,2,36,NA,NA,NA,NA,NA,NA
10031,49,6,2,30,12,34,7,16,5,26,2,28,4,24
10032,55,4,2,30,17,29,8,14,1,33,NA,NA,6,18
10033,56,3,3,24,8,37,5,21,NA,NA,2,28,6,18
10034,34,15,1,38,16,31,3,32,2,30,NA,NA,2,34
10035,34,15,2,30,11,35,6,18,2,30,2,28,2,34
10037,15,34,NA,NA,4,39,3,32,NA,NA,NA,NA,NA,NA
10039,17,31,1,38,2,40,4,26,NA,NA,NA,NA,3,30
10040,44,8,2,30,10,36,2,36,NA,NA,NA,NA,7,14
10065,10,35,5,18,35,18,3,32,11,14,7,18,5,21
10075,6,37,1,38,16,31,3,32,8,19,7,18,2,34
10128,26,22,8,8,31,21,5,21,10,16,5,21,4,24
10280,4,38,NA,NA,1,42,1,38,NA,NA,NA,NA,NA,NA
10282,1,40,1,38,2,40,NA,NA,NA,NA,NA,NA,NA,NA
11106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10069,NA,NA,NA,NA,1,42,NA,NA,NA,NA,1,32,NA,NA
11109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
