"","zipcode","COUNT","RANKING"
"1","10001",1199,5
"2","10002",1308,2
"3","10003",936,11
"4","10005",238,37
"5","10006",298,36
"6","10007",369,34
"7","10009",638,20
"8","10010",706,17
"9","10011",992,9
"10","10012",836,13
"11","10013",574,24
"12","10014",495,26
"13","10016",711,16
"14","10017",630,21
"15","10018",729,14
"16","10019",1028,7
"17","10021",373,33
"18","10022",866,12
"19","10023",565,25
"20","10024",596,23
"21","10025",967,10
"22","10026",1001,8
"23","10027",1179,6
"24","10028",412,32
"25","10029",1477,1
"26","10030",689,18
"27","10031",720,15
"28","10032",685,19
"29","10033",625,22
"30","10034",486,28
"31","10035",1211,4
"32","10036",1280,3
"33","10037",456,29
"34","10038",312,35
"35","10039",494,27
"36","10040",414,31
"37","10065",159,38
"38","10069",101,41
"39","10075",144,39
"40","10128",418,30
"41","10280",22,42
"42","10282",105,40
"43","11106",1,43
