"","Zip.Code","COUNT","RANKING"
"1",10001,60,22
"2",10002,192,1
"3",10003,102,5.5
"4",10004,10,41
"5",10005,11,40
"6",10006,4,43
"7",10007,26,39
"8",10009,88,12
"9",10010,56,25
"10",10011,102,5.5
"11",10012,45,30.5
"12",10013,114,3
"13",10014,61,21
"14",10016,66,18
"15",10017,51,27
"16",10018,72,17
"17",10019,87,13
"18",10021,43,33
"19",10022,54,26
"20",10023,42,34.5
"21",10024,45,30.5
"22",10025,108,4
"23",10026,50,28
"24",10027,95,8
"25",10028,57,24
"26",10029,185,2
"27",10030,47,29
"28",10031,90,11
"29",10032,94,9
"30",10033,98,7
"31",10034,62,20
"32",10035,85,14
"33",10036,59,23
"34",10037,37,36.5
"35",10038,42,34.5
"36",10039,44,32
"37",10040,77,15
"38",10065,37,36.5
"39",10069,1,45
"40",10075,27,38
"41",10128,63,19
"42",10280,5,42
"43",10282,2,44
"44",11106,75,16
"45",11231,92,10
