price,bedrooms,bathrooms,addr,apt,lat,lng,zipcode
"1,325",1,1,33 Arden St,52,40.8619985,-73.9268313,10040
"3,400",3,1,154 Ridge St,4,42.4476552,-71.1755777,10002
"2,950",1,1,74 Pearl St,4,40.7037389,-74.0104776,11201
"2,895",3,1,182 Claremont Ave,3,40.8144652,-73.9601552,10027
"3,500",1,2,112 Lexington Ave,2,40.7425039,-73.9828456,10016
"5,795",3,2,70 Madison Ave,3BDRJ,40.7437099,-73.9859142,10016
"4,675",1,1,530 W 30th St,36893,40.752559,-74.002736,10001
"14,795",3,3,530 W 30th St,37013,40.752559,-74.002736,10001
"5,200",1,1,530 W 30th St,36892,40.752559,-74.002736,10001
"9,475",3,3,530 W 30th St,36897,40.752559,-74.002736,10001
"6,100",1,1,530 W 30th St,37051,40.752559,-74.002736,10001
"2,756",2,1,442 10th Ave,2FS,40.7550676,-73.9987966,10001
"3,145",1,1,334 9th Ave,4R,40.7502977,-73.9982447,10001
"6,135",2,2,885 6th Ave,42C,40.7483602,-73.9890844,10001
"5,118",1,1,885 6th Ave,46D,40.7483602,-73.9890844,10001
"7,564",2,2,885 6th Ave,39C,40.7483602,-73.9890844,10001
"3,346",1,2,885 6th Ave,16D,40.7483602,-73.9890844,10001
"4,100",2,1,11 W 31st St,23,40.7471282,-73.9869043,10001
"3,040",2,1,309 W 29th St,2F,40.749513,-73.9963198,10001
"3,040",2,1,309 W 29th St,3F,40.749513,-73.9963198,10001
"4,688",1,1,507 W 28th St,28L,40.7510826,-74.002272,10001
"3,938",1,1,507 W 28th St,14A,40.7510826,-74.002272,10001
"4,246",1,1,507 W 28th St,14K,40.7510826,-74.002272,10001
"3,329",1,2,507 W 28th St,4C,40.7510826,-74.002272,10001
"6,792",2,2,507 W 28th St,27A,40.7510826,-74.002272,10001
"6,458",2,2,507 W 28th St,1201,40.7510826,-74.002272,10001
"8,292",2,1,507 W 28th St,1405,40.7510826,-74.002272,10001
"5,625",2,1,507 W 28th St,512,40.7510826,-74.002272,10001
"3,250",1,2,507 W 28th St,919,40.7510826,-74.002272,10001
"4,938",1,1,507 W 28th St,1D,40.7510826,-74.002272,10001
"2,833",1,1,507 W 28th St,5K,40.7510826,-74.002272,10001
"6,250",2,2,507 W 28th St,15A,40.7510826,-74.002272,10001
"8,229",2,2,507 W 28th St,2A,40.7510826,-74.002272,10001
"8,396",2,2,507 W 28th St,1A,40.7510826,-74.002272,10001
"4,875",1,1,507 W 28th St,2D,40.7510826,-74.002272,10001
"7,146",2,2,507 W 28th St,1F,40.7510826,-74.002272,10001
"7,500",4,1,146 W 28th St,6E,40.746675,-73.992627,10001
"6,695",2,2,106 W 28th St,5AJ,40.7460529,-73.990963,10001
"5,650",3,2,101 W 25th St,2D,40.7445014,-73.9921103,10001
"5,500",2,2,260 W 25th St,1EJ,40.745978,-73.996752,10001
"25,000",3,3,250 West St,2D,40.7218524,-74.011154,10001
"15,000",4,3,110 W 25th St,2,40.7442656,-73.992583,10001
"5,995",4,1,124 W 25th St,2F,40.7444643,-73.9930631,10001
"3,095",1,5,100 W 26th St,4F,40.7447992,-73.9919171,10001
"3,845",1,1,100 W 26th St,5H,40.7447992,-73.9919171,10001
"3,595",1,3,100 W 26th St,12H,40.7447992,-73.9919171,10001
"5,500",3,1,110 W 26th St,6R,40.7448937,-73.9921745,10001
"6,735",2,2,776 Avenue Of The Americas,21CJ,40.7450001,-73.9909175,10001
"5,400",1,1,252 7th Ave,14M,40.7452044,-73.9950839,10001
"8,500",2,2,252 7th Ave,12T,40.7452044,-73.9950839,10001
"8,250",2,2,252 7th Ave,7E,40.7452044,-73.9950839,10001
"8,695",2,2,252 7th Ave,12G,40.7452044,-73.9950839,10001
"4,995",1,1,252 7th Ave,7Z,40.7452044,-73.9950839,10001
"5,250",1,1,252 7th Ave,12L,40.7452044,-73.9950839,10001
"22,500",3,3,252 7th Ave,8H,40.7452044,-73.9950839,10001
"8,000",4,2,177 W 26th St,200,40.7460215,-73.9938184,10001
"7,000",4,2,177 W 26th St,304,40.7460215,-73.9938184,10001
"5,095",1,1,200 W 26th St,12I,40.7460604,-73.9946738,10001
"3,995",1,1,200 W 26th St,909,40.7460604,-73.9946738,10001
"4,125",1,1,200 W 26th St,5C,40.7460604,-73.9946738,10001
"2,450",1,1,231 W 25th St,3E,40.7461485,-73.9960252,10001
"3,995",2,1,18 W 30th St,4THFLR,40.7461807,-73.9875975,10001
"7,000",2,2,50 W 29th St,13W,40.7462611,-73.9896677,10001
"5,435",1,1,50 W 29th St,32IJ,40.7462611,-73.9896677,10001
"2,800",2,1,50 W 29th St,24,40.7462611,-73.9896677,10001
"5,285",2,2,245 W 25th St,5F,40.7463149,-73.996455,10001
"5,045",1,1,245 W 25th St,4B,40.7463149,-73.996455,10001
"5,950",1,1,245 W 25th St,3L,40.7463149,-73.996455,10001
"5,855",2,2,245 W 25th St,3H,40.7463149,-73.996455,10001
"8,300",2,2,261 W 25th St,8C,40.7463974,-73.9967328,10001
"5,995",2,1,261 W 25th St,1C,40.7463974,-73.9967328,10001
"3,495",1,1,120 E 34th St,3C,40.7464441,-73.9802022,10001
"2,595",1,2,120 E 34th St,8E,40.7464441,-73.9802022,10001
"3,695",1,1,120 E 34th St,2F,40.7464441,-73.9802022,10001
"3,295",1,1,120 E 34th St,2J,40.7464441,-73.9802022,10001
"11,000",3,2,148 W 28th St,6W,40.746678,-73.9925851,10001
"5,775",2,2,260 W 26th St,11-K,40.7468602,-73.9967074,10001
"4,295",1,1,260 W 26th St,5Q,40.7468602,-73.9967074,10001
"6,175",2,2,260 W 26th St,8F,40.7468602,-73.9967074,10001
"3,200",1,1,135 W 28th St,2RW,40.7468676,-73.9920464,10001
"3,495",1,1,115 E 34th St,803,40.7468705,-73.9801731,10001
"3,550",1,1,115 E 34th St,1309,40.7468705,-73.9801731,10001
"8,010",3,3,105 W 29th St,,40.7469484,-73.9903662,10001
"4,800",1,2,315 7th Ave,8D,40.7469664,-73.9932226,10001
"2,250",1,1,249 W 26th St,2A,40.7470964,-73.9963114,10001
"2,849",1,1,237 9th Ave,2D,40.7476541,-74.0008829,10001
"4,938",1,1,100 W 31st St,31K,40.747661,-73.9898898,10001
"6,000",2,1,100 W 31st St,25B,40.747661,-73.9898898,10001
"4,384",1,1,100 W 31st St,24H,40.747661,-73.9898898,10001
"5,810",1,1,100 W 31st St,45J,40.747661,-73.9898898,10001
"3,595",1,3,100 W 31st St,23E,40.747661,-73.9898898,10001
"4,333",1,1,100 W 31st St,16G,40.747661,-73.9898898,10001
"3,553",1,2,100 W 31st St,18D,40.747661,-73.9898898,10001
"3,875",1,1,100 W 31st St,23H,40.747661,-73.9898898,10001
"5,441",1,1,100 W 31st St,35C,40.747661,-73.9898898,10001
"6,995",1,2,130 W 30th St,10A,40.7476664,-73.9911523,10001
"8,820",3,3,130 W 30th St,6C,40.7476664,-73.9911523,10001
"3,850",1,1,W 31st St and Ave Of The Americas,,40.747893,-73.9891689,10001
"3,100",1,2,W 31st St and Ave Of The Americas,,40.747893,-73.9891689,10001
"3,999",2,1,W 31st St and Ave Of The Americas,,40.747893,-73.9891689,10001
"2,450",1,1,412 W 25th St,6E,40.747918,-74.00132,10001
"2,850",1,1,412 W 25th St,10,40.747918,-74.00132,10001
"9,000",1,2,263 9th Ave,9E,40.7483505,-74.0003716,10001
"4,110",1,1,221 W 29th St,8F,40.7483767,-73.9936601,10001
"3,124",1,4,221 W 29th St,10A,40.7483767,-73.9936601,10001
"3,638",1,1,221 W 29th St,8E,40.7483767,-73.9936601,10001
"6,300",2,2,221 W 29th St,21C,40.7483767,-73.9936601,10001
"4,453",1,1,221 W 29th St,17B,40.7483767,-73.9936601,10001
"8,567",2,2,221 W 29th St,18C,40.7483767,-73.9936601,10001
"3,831",1,1,221 W 29th St,7B,40.7483767,-73.9936601,10001
"6,750",2,2,261 W 28th St,4E,40.748427,-73.995903,10001
"4,595",2,2,248 10th Ave,4,40.748505,-74.003165,10001
"9,500",3,2,208 W 30th St,702,40.7485786,-73.9932332,10001
"3,554",1,1,125 W 31st St,37F,40.74863,-73.990279,10001
"4,334",1,1,125 W 31st St,26B,40.74863,-73.990279,10001
"4,518",1,1,125 W 31st St,PHC,40.74863,-73.990279,10001
"5,533",2,2,35 W 33rd St,21D,40.748782,-73.9868113,10001
"3,853",1,1,35 W 33rd St,23F,40.748782,-73.9868113,10001
