"","zipcode","COUNT.x","RANKING.x","COUNT.y","RANKING.y"
"1",10001,15,22,7,5
"2",10002,35,4.5,6,7
"3",10003,18,16,6,7
"4",10004,2,39,3,23
"5",10005,3,37,2,31
"6",10006,1,41.5,3,23
"7",10007,2,39,14,1
"8",10009,30,7.5,1,37
"9",10010,27,10,3,23
"10",10011,15,22,9,2.5
"11",10012,5,36,4,14.5
"12",10013,8,34,8,4
"13",10014,10,31.5,2,31
"14",10016,22,12,2,31
"15",10017,14,25.5,3,23
"16",10018,7,35,3,23
"17",10019,28,9,9,2.5
"18",10021,17,18,NA,NA
"19",10022,14,25.5,5,10
"20",10023,34,6,3,23
"21",10024,30,7.5,4,14.5
"22",10025,45,2,5,10
"23",10026,20,13,3,23
"24",10027,47,1,4,14.5
"25",10028,12,28.5,1,37
"26",10029,43,3,3,23
"27",10030,18,16,NA,NA
"28",10031,26,11,3,23
"29",10032,35,4.5,6,7
"30",10033,16,19,3,23
"31",10034,15,22,4,14.5
"32",10035,19,14,1,37
"33",10036,12,28.5,4,14.5
"34",10037,10,31.5,1,37
"35",10038,13,27,5,10
"36",10039,15,22,3,23
"37",10040,15,22,4,14.5
"38",10065,10,31.5,2,31
"39",10075,18,16,1,37
"40",10128,10,31.5,1,37
"41",10280,2,39,NA,NA
"42",10282,1,41.5,NA,NA
"43",11106,NA,NA,2,31
"44",11231,NA,NA,1,37
